CustomerID,Lookalikes
C0199,"[('C0166', 0.9325420502922361), ('C0086', 0.9066431751902219), ('C0197', 0.876943571996355)]"
C0146,"[('C0177', 0.9379481228992578), ('C0005', 0.9362032575279405), ('C0186', 0.8993033079249867)]"
C0127,"[('C0081', 0.9191982177351866), ('C0179', 0.9112568067591806), ('C0069', 0.9095620465428172)]"
C0087,"[('C0188', 0.9463342541705417), ('C0082', 0.9327861458696308), ('C0155', 0.9319821025537411)]"
C0070,"[('C0064', 0.9099953404753117), ('C0135', 0.8669353540535049), ('C0063', 0.8506210343331286)]"
C0188,"[('C0102', 0.9713177921967223), ('C0013', 0.9568063674977897), ('C0087', 0.9463342541705417)]"
C0195,"[('C0039', 0.9487968865421124), ('C0181', 0.9084854709620529), ('C0152', 0.8977649850321443)]"
C0008,"[('C0109', 0.9640309973118031), ('C0098', 0.947592463863614), ('C0139', 0.9086398999202672)]"
C0157,"[('C0189', 0.9260380935650233), ('C0116', 0.9230631575381041), ('C0038', 0.8875508100386933)]"
C0130,"[('C0112', 0.9190907134967691), ('C0095', 0.8965410704582208), ('C0120', 0.834098893309967)]"
C0051,"[('C0041', 0.928875068600967), ('C0057', 0.9261623546809077), ('C0100', 0.9136937956969281)]"
C0075,"[('C0017', 0.9782082121125565), ('C0124', 0.8723999797561345), ('C0051', 0.8589429400253316)]"
C0155,"[('C0102', 0.9488635612949289), ('C0087', 0.9319821025537411), ('C0188', 0.9312348839143706)]"
C0154,"[('C0194', 0.9507134974449597), ('C0067', 0.9316749338061434), ('C0055', 0.9216043695586631)]"
C0035,"[('C0055', 0.9009150521362124), ('C0125', 0.8742550425003429), ('C0189', 0.8162574747301193)]"
C0065,"[('C0059', 0.92545037077581), ('C0156', 0.8973895306999425), ('C0109', 0.8727246440333166)]"
C0121,"[('C0119', 0.9548209726488105), ('C0111', 0.884491222890008), ('C0172', 0.8733411035319136)]"
C0194,"[('C0024', 0.9781094203223109), ('C0154', 0.9507134974449597), ('C0047', 0.9365107357909914)]"
C0124,"[('C0179', 0.9450499461298716), ('C0081', 0.9435222602868187), ('C0017', 0.9330913352316672)]"
C0001,"[('C0190', 0.9360216704594535), ('C0048', 0.916870957450928), ('C0039', 0.8729641406219308)]"
